P0	P1	P2	P3	P4	DFO	DIL	DFI	DOL	allsites
bic_1	SPC.3.1	IOM3.1.1	CUY.2.1	V480	0.301345	0.304821	0.109567	0.125759	585842
bic_1	SPC.3.1	IOM3.1.1	CUY3.1	V480	0.279959	0.283248	0.10704	0.122541	590942
bic_1	SPC.3.1	IOM3.1.1	GRM4.1	V480	0.223656	0.226621	0.104341	0.1189	597992
bic_1	SPC.3.1	IOM3.1.1	GRM5.1	V480	0.240507	0.243183	0.107793	0.120729	597164
bic_1	SPC.3.1	IOM3.1.1	IND2.1	V480	0.226148	0.228641	0.107503	0.119707	602254
bic_1	SPC.3.1	IOM3.1.1	IND5.1	V480	0.225695	0.228641	0.106349	0.120741	602290
bic_1	SPC.3.1	IOM3.1.1	IND6.1	V480	0.191486	0.194437	0.106502	0.121348	609258
bic_1	SPC.3.1	IOM3.1.1	MNZ1.1	V480	0.26152	0.264522	0.108918	0.123261	592882
bic_1	SPC.3.1	IOM3.1.1	MNZ2.1	V480	0.29438	0.297819	0.108469	0.124539	588548
bic_1	SPC.3.1	IOM3.1.1	ONC1.1	V480	0.248709	0.251952	0.10621	0.121842	598242
bic_1	SPC.3.1	IOM3.1.1	ONC2.1	V480	0.244367	0.247595	0.107391	0.123008	598834
bic_1	SPC.3.1	IOM3.1.1	ONC3.1	V480	0.191739	0.195591	0.101224	0.120555	609602
bic_1	SPC.3.1	IOM3.1.1	RED11.1	V480	0.210286	0.213591	0.103178	0.119573	605356
bic_1	SPC.3.1	IOM3.1.1	RED15.1	V480	0.25328	0.255859	0.107914	0.120321	597856
bic_1	SPC.3.1	IOM3.1.1	RED17.1	V480	0.199797	0.203829	0.101974	0.122137	607680
bic_1	SPC.3.1	IOM3.1.1	RED18.1	V480	0.201433	0.204499	0.106461	0.121746	607739
bic_1	SPC.3.1	IOM3.1.1	RED9.119	V480	0.234483	0.237437	0.106909	0.121291	601288
bic_1	SPC.3.1	IOM3.1.1	SHV.1.1	V480	0.290734	0.294686	0.107748	0.126216	588284
bic_1	SPC.3.1	IOM3.1.1	SLA1.1	V480	0.219179	0.222775	0.103983	0.121604	604271
bic_1	SPC.3.1	IOM3.1.1	SLA3.1	V480	0.208142	0.211357	0.106105	0.122	606275
bic_1	SPC.3.1	IOM3.1.1	SLA5.1	V480	0.196301	0.200029	0.103808	0.122481	607400
bic_1	SPC.3.1	IOM3.1.1	WFM1.1	V480	0.252891	0.25711	0.105192	0.125531	594447
