#topo1 (bicolor,((card,sierranlew),northernlew));
#topo2 (bicolor,((card,northernlew),sierranlew));
#topo3 (bicolor,(card,(sierranlew,northernlew)));
topo1	topo2	topo3
768	1152	0
0	1920	0
161	1024	735
448	0	1472
0	840	1080
1160	464	296
1740	0	180
0	1440	480
162	87	1671
1920	0	0
128	0	1792
0	256	1664
60	0	1860
480	90	1350
0	0	1920
0	1920	0
60	1860	0
1920	0	0
0	1920	0
0	0	1920
0	0	1920
1920	0	0
0	0	1920
1920	0	0
0	640	1280
0	0	1920
1920	0	0
96	0	1824
1440	11	469
0	1920	0
1920	0	0
0	60	1860
0	0	1920
825	15	1080
1920	0	0
1920	0	0
0	1920	0
788	956	176
256	0	1664
1920	0	0
0	1920	0
1305	29	586
0	896	1024
270	135	1515
480	720	720
60	1860	0
0	0	1920
624	64	1232
1024	0	896
0	0	1920
0	0	1920
60	0	1860
0	0	1920
1440	0	480
480	1330	110
0	1920	0
0	1440	480
0	0	1920
0	0	1920
0	0	1920
25	11	1884
1920	0	0
540	455	925
384	1280	256
0	0	1920
0	165	1755
1408	256	256
88	1188	644
36	52	1832
0	0	1920
1920	0	0
0	0	1920
128	0	1792
0	0	1920
0	0	1920
0	1920	0
0	1920	0
0	0	1920
0	0	1920
0	40	1880
1920	0	0
1440	0	480
512	0	1408
0	0	1920
1920	0	0
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	1920	0
0	0	1920
0	0	1920
0	0	1920
1184	224	512
0	0	1920
340	20	1560
1920	0	0
0	0	1920
0	0	1920
0	1920	0
0	1920	0
1305	135	480
0	0	1920
576	320	1024
0	0	1920
540	0	1380
1860	0	60
60	0	1860
340	300	1280
60	0	1860
60	1680	180
0	0	1920
0	1440	480
0	0	1920
0	0	1920
0	0	1920
0	60	1860
0	0	1920
0	1920	0
1440	480	0
0	0	1920
0	1920	0
0	1920	0
1656	24	240
640	960	320
8	0	1912
0	0	1920
0	0	1920
0	0	1920
1920	0	0
0	0	1920
0	0	1920
300	0	1620
1376	372	172
0	0	1920
0	0	1920
0	0	1920
0	0	1920
192	0	1728
1920	0	0
0	1920	0
0	0	1920
552	756	612
1800	120	0
1920	0	0
180	1740	0
1560	0	360
0	0	1920
1920	0	0
0	0	1920
0	0	1920
1920	0	0
0	0	1920
0	0	1920
0	1152	768
1440	0	480
1920	0	0
0	0	1920
0	0	1920
240	0	1680
0	1920	0
0	0	1920
0	1808	112
0	0	1920
0	0	1920
1536	0	384
0	0	1920
0	0	1920
1920	0	0
1920	0	0
0	0	1920
1920	0	0
60	660	1200
1920	0	0
0	0	1920
0	1920	0
0	1920	0
48	1872	0
1536	384	0
0	0	1920
48	38	1834
0	0	1920
45	135	1740
0	480	1440
0	0	1920
0	240	1680
0	0	1920
0	960	960
1440	0	480
0	0	1920
180	600	1140
0	0	1920
960	704	256
600	140	1180
570	810	540
0	0	1920
1920	0	0
0	1920	0
0	0	1920
1888	0	32
0	0	1920
0	0	1920
150	1059	711
0	960	960
0	0	1920
0	480	1440
1395	0	525
256	1248	416
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	0	1920
620	1000	300
0	1920	0
1016	900	4
0	0	1920
0	240	1680
0	0	1920
0	1536	384
192	768	960
1920	0	0
0	0	1920
0	1920	0
0	0	1920
0	0	1920
0	740	1180
1920	0	0
0	0	1920
0	0	1920
1920	0	0
383	465	1072
620	1280	20
0	1920	0
1792	0	128
0	0	1920
1792	0	128
1440	60	420
1920	0	0
1188	220	512
0	0	1920
0	0	1920
0	0	1920
0	1920	0
45	0	1875
0	1920	0
1580	228	112
465	210	1245
0	0	1920
0	0	1920
0	1920	0
0	1920	0
320	1600	0
1920	0	0
990	288	642
0	1920	0
0	1920	0
1920	0	0
1680	0	240
0	1920	0
0	1920	0
224	1216	480
1875	45	0
0	0	1920
0	45	1875
0	0	1920
0	0	1920
480	288	1152
480	0	1440
128	64	1728
48	1424	448
210	0	1710
0	0	1920
128	1792	0
128	0	1792
1920	0	0
1440	480	0
640	0	1280
1920	0	0
440	1280	200
1920	0	0
1740	0	180
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	1920	0
0	0	1920
0	1920	0
0	0	1920
0	0	1920
1920	0	0
0	0	1920
0	0	1920
0	124	1796
0	0	1920
0	1620	300
12	1896	12
0	0	1920
1920	0	0
15	510	1395
1920	0	0
60	1860	0
1664	0	256
0	0	1920
1920	0	0
0	0	1920
586	313	1021
0	0	1920
840	1080	0
1920	0	0
0	1920	0
1176	84	660
0	0	1920
0	1920	0
1920	0	0
0	0	1920
0	0	1920
0	1920	0
0	1920	0
0	124	1796
0	0	1920
0	1920	0
1344	512	64
0	1860	60
0	0	1920
1860	0	60
0	0	1920
0	1920	0
0	1920	0
0	960	960
0	1920	0
0	1920	0
0	0	1920
1920	0	0
0	0	1920
21	13	1886
1792	0	128
0	0	1920
0	0	1920
0	1920	0
1920	0	0
0	0	1920
1830	90	0
0	1920	0
0	1920	0
1920	0	0
0	0	1920
0	0	1920
780	0	1140
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	0	1920
60	0	1860
156	1508	256
0	0	1920
0	0	1920
0	1920	0
0	0	1920
1860	0	60
1920	0	0
512	1408	0
0	1860	60
1920	0	0
0	0	1920
0	0	1920
120	0	1800
1395	45	480
0	1860	60
0	0	1920
480	0	1440
0	0	1920
1035	405	480
0	0	1920
0	0	1920
0	0	1920
0	1920	0
0	0	1920
1920	0	0
1920	0	0
0	0	1920
1920	0	0
1920	0	0
1440	0	480
0	0	1920
1920	0	0
1920	0	0
0	0	1920
0	480	1440
0	0	1920
1920	0	0
200	1300	420
513	12	1395
150	0	1770
12	0	1908
1920	0	0
330	1524	66
1122	36	762
896	0	1024
960	0	960
1920	0	0
0	0	1920
256	1664	0
0	0	1920
1620	0	300
427	121	1372
0	0	1920
1248	396	276
0	1920	0
1860	30	30
0	0	1920
120	1350	450
1920	0	0
0	0	1920
1408	256	256
0	1920	0
292	340	1288
1024	0	896
87	1734	99
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	0	1920
1920	0	0
0	1440	480
420	0	1500
0	1920	0
630	810	480
0	0	1920
1920	0	0
0	0	1920
0	1920	0
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	44	1876
225	240	1455
0	0	1920
0	1920	0
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	0	1920
896	1024	0
1830	0	90
1920	0	0
0	0	1920
0	0	1920
0	1920	0
96	608	1216
1920	0	0
60	0	1860
0	0	1920
0	0	1920
0	0	1920
1800	120	0
0	0	1920
1920	0	0
1920	0	0
1920	0	0
0	0	1920
1920	0	0
0	1280	640
0	0	1920
0	1280	640
230	782	908
1920	0	0
960	960	0
0	0	1920
0	0	1920
1323	387	210
0	0	1920
0	480	1440
0	0	1920
1920	0	0
0	0	1920
0	0	1920
960	0	960
0	0	1920
1350	90	480
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	1920	0
0	0	1920
0	0	1920
0	1395	525
0	0	1920
0	0	1920
0	1920	0
1152	128	640
1920	0	0
0	0	1920
0	0	1920
540	0	1380
1641	222	57
0	0	1920
0	0	1920
0	0	1920
0	0	1920
0	1920	0
1033	259	628
0	0	1920
0	1088	832
0	0	1920
0	1920	0
0	0	1920
0	0	1920
0	0	1920
1740	56	124
0	104	1816
0	0	1920
0	0	1920
0	0	1920
0	1536	384
1920	0	0
256	384	1280
0	0	1920
0	20	1900
232	0	1688
1920	0	0
465	15	1440
1488	384	48
0	0	1920
256	0	1664
0	480	1440
0	1920	0
0	0	1920
1408	0	512
1920	0	0
1920	0	0
1920	0	0
1920	0	0
0	0	1920
0	0	1920
0	1920	0
0	1920	0
0	1920	0
1920	0	0
0	0	1920
0	0	1920
0	0	1920
0	0	1920
